CATEGORY_ID,CATEGORY_NAME,PRODUCT_NAME,DESCRIPTION,STANDARD_COST,QUANTITY,Checked_Out_Quantity
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,50,47
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,36,61
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,97,0
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,67,30
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,30,67
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,26,158
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,11,173
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,184,0
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,103,81
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,59,125
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,50,105
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,35,120
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,155,0
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,77,78
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,35,120
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,41,84
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,29,96
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,125,0
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,113,12
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,101,24
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,89,36
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,77,48
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,65,60
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,53,72
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,28,157
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,13,172
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,133,52
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,185,0
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,136,49
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,104,81
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,81,104
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,60,125
1,CPU,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,45,140
1,CPU,Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,189,0
1,CPU,Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,141,48
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,34,66
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,23,77
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,100,0
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,71,29
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,58,42
1,CPU,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,46,54
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,7,105
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,6,106
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,112,0
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,90,22
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,29,83
1,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,18,94
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,11,55
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,0,66
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,66,0
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,44,22
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,33,33
1,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,22,44
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,34,60
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,22,72
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,94,0
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,70,24
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,58,36
1,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,46,48
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,45,41
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,32,54
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,69,17
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,86,0
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,72,14
1,CPU,Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",1781.47,58,28
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,49,41
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,36,54
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,73,17
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,90,0
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,76,14
1,CPU,Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",1723.83,62,28
1,CPU,Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,27,60
1,CPU,Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,15,72
1,CPU,Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",1499.26,87,0
