CATEGORY_ID,CATEGORY_NAME,PRODUCT_NAME,DESCRIPTION,STANDARD_COST,QUANTITY
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,50
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,36
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,97
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,67
1,CPU,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,30
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,26
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,11
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,184
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,103
1,CPU,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,59
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,50
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,35
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,155
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,77
1,CPU,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,35
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,41
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,29
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,125
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,113
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,101
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,89
1,CPU,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,77
